number,latitude,longitude,time
339,50.982567320,3.777780140,op een zeker tijdstip...
340,50.982566956,3.777780164,op een zeker tijdstip...
341,50.982566625,3.777780251,op een zeker tijdstip...
342,50.982566275,3.777780348,op een zeker tijdstip...
343,50.982566009,3.777780358,op een zeker tijdstip...
344,50.982565700,3.777780365,op een zeker tijdstip...
345,50.982565374,3.777780473,op een zeker tijdstip...
346,50.982564916,3.777780693,op een zeker tijdstip...
347,50.982564505,3.777780780,op een zeker tijdstip...
348,50.982564234,3.777780685,op een zeker tijdstip...
349,50.982563854,3.777780766,op een zeker tijdstip...
350,50.982563453,3.777780865,op een zeker tijdstip...
351,50.982563093,3.777780980,op een zeker tijdstip...
352,50.982562791,3.777780979,op een zeker tijdstip...
353,50.982562494,3.777781022,op een zeker tijdstip...
354,50.982562216,3.777781013,op een zeker tijdstip...
355,50.982561928,3.777781043,op een zeker tijdstip...
356,50.982561560,3.777781029,op een zeker tijdstip...
357,50.982561247,3.777781078,op een zeker tijdstip...
358,50.982560960,3.777781151,op een zeker tijdstip...
359,50.982560617,3.777781138,op een zeker tijdstip...
360,50.982560316,3.777781128,op een zeker tijdstip...
361,50.982559957,3.777781152,op een zeker tijdstip...
362,50.982559560,3.777781260,op een zeker tijdstip...
363,50.982559239,3.777781322,op een zeker tijdstip...
364,50.982558948,3.777781293,op een zeker tijdstip...
365,50.982558568,3.777781299,op een zeker tijdstip...
366,50.982558194,3.777781365,op een zeker tijdstip...
367,50.982557860,3.777781358,op een zeker tijdstip...
368,50.982557465,3.777781395,op een zeker tijdstip...
369,50.982557079,3.777781400,op een zeker tijdstip...
370,50.982556703,3.777781449,op een zeker tijdstip...
371,50.982556307,3.777781509,op een zeker tijdstip...
372,50.982555952,3.777781550,op een zeker tijdstip...
373,50.982555636,3.777781536,op een zeker tijdstip...
374,50.982555250,3.777781555,op een zeker tijdstip...
375,50.982554919,3.777781521,op een zeker tijdstip...
376,50.982554615,3.777781547,op een zeker tijdstip...
377,50.982554273,3.777781648,op een zeker tijdstip...
